Total time: 1.378734s

p[199].x: 1.640	p[199].y: 4.033	p[199].z: 1.906
p[199].vx: 23.222	p[199].vy: 55.024	p[199].vz: 26.121

p[200].x: -2.737	p[200].y: -0.725	p[200].z: -2.053
p[200].vx: -42.273	p[200].vy: -17.297	p[200].vz: -25.511

p[201].x: 1.275	p[201].y: 4.826	p[201].z: 0.787
p[201].vx: 20.833	p[201].vy: 66.453	p[201].vz: 10.577

p[202].x: -4.587	p[202].y: -4.558	p[202].z: -3.425
p[202].vx: -63.781	p[202].vy: -64.489	p[202].vz: -49.460

p[203].x: -1.050	p[203].y: 3.948	p[203].z: -5.626
p[203].vx: -17.082	p[203].vy: 54.092	p[203].vz: -80.893

p[204].x: -2.431	p[204].y: 2.277	p[204].z: -2.714
p[204].vx: -36.974	p[204].vy: 26.592	p[204].vz: -43.653

p[205].x: -1.454	p[205].y: -1.391	p[205].z: -1.498
p[205].vx: -17.179	p[205].vy: -26.200	p[205].vz: -28.428

p[206].x: -6.634	p[206].y: -5.944	p[206].z: -0.430
p[206].vx: -94.550	p[206].vy: -84.536	p[206].vz: -7.080

p[207].x: 4.704	p[207].y: 3.124	p[207].z: -3.869
p[207].vx: 67.790	p[207].vy: 45.168	p[207].vz: -57.442

p[208].x: -4.266	p[208].y: -2.731	p[208].z: -2.624
p[208].vx: -60.800	p[208].vy: -39.721	p[208].vz: -40.601

p[209].x: 3.983	p[209].y: 2.638	p[209].z: -2.650
p[209].vx: 58.177	p[209].vy: 37.970	p[209].vz: -39.148

p[210].x: -1.951	p[210].y: 2.304	p[210].z: -2.522
p[210].vx: -34.286	p[210].vy: 36.688	p[210].vz: -43.096

p[211].x: 1.889	p[211].y: -4.424	p[211].z: -9.001
p[211].vx: 28.393	p[211].vy: -62.706	p[211].vz: -129.215

p[212].x: 3.553	p[212].y: 4.553	p[212].z: 13.575
p[212].vx: 50.905	p[212].vy: 65.936	p[212].vz: 191.781

p[213].x: -2.234	p[213].y: -2.563	p[213].z: 6.498
p[213].vx: -30.851	p[213].vy: -36.438	p[213].vz: 91.287

p[214].x: -1.611	p[214].y: -0.757	p[214].z: 1.015
p[214].vx: -23.408	p[214].vy: -12.812	p[214].vz: 16.277

p[215].x: 3.455	p[215].y: 0.589	p[215].z: 4.357
p[215].vx: 51.725	p[215].vy: 11.197	p[215].vz: 62.704

p[216].x: 2.045	p[216].y: 1.106	p[216].z: -0.867
p[216].vx: 27.450	p[216].vy: 29.463	p[216].vz: -18.722

p[217].x: 1.414	p[217].y: -0.486	p[217].z: -9.644
p[217].vx: 20.040	p[217].vy: -6.406	p[217].vz: -137.875

p[218].x: -4.280	p[218].y: 0.711	p[218].z: 4.226
p[218].vx: -62.550	p[218].vy: 9.742	p[218].vz: 61.512

p[219].x: -2.093	p[219].y: -3.761	p[219].z: -6.796
p[219].vx: -29.170	p[219].vy: -53.693	p[219].vz: -98.981

p[220].x: 5.683	p[220].y: -5.190	p[220].z: 3.432
p[220].vx: 81.764	p[220].vy: -72.775	p[220].vz: 50.064

p[221].x: -4.673	p[221].y: 4.483	p[221].z: 3.666
p[221].vx: -67.986	p[221].vy: 63.755	p[221].vz: 52.828

p[222].x: 2.918	p[222].y: 2.941	p[222].z: -3.520
p[222].vx: 43.320	p[222].vy: 45.009	p[222].vz: -50.335

p[223].x: 4.079	p[223].y: 3.657	p[223].z: -8.082
p[223].vx: 59.357	p[223].vy: 52.567	p[223].vz: -115.632

p[224].x: -3.193	p[224].y: 4.464	p[224].z: 0.731
p[224].vx: -44.463	p[224].vy: 63.608	p[224].vz: 9.310

p[225].x: -3.440	p[225].y: 8.293	p[225].z: 4.547
p[225].vx: -48.816	p[225].vy: 118.504	p[225].vz: 63.259

p[226].x: -4.711	p[226].y: 4.598	p[226].z: 5.153
p[226].vx: -66.955	p[226].vy: 66.475	p[226].vz: 74.181

p[227].x: 2.097	p[227].y: -6.675	p[227].z: 2.153
p[227].vx: 30.640	p[227].vy: -92.947	p[227].vz: 30.486

p[228].x: -3.477	p[228].y: 4.989	p[228].z: -3.084
p[228].vx: -50.547	p[228].vy: 71.109	p[228].vz: -47.361

p[229].x: 2.335	p[229].y: 2.589	p[229].z: -2.590
p[229].vx: 42.472	p[229].vy: 42.754	p[229].vz: -41.481

p[230].x: -5.679	p[230].y: 2.010	p[230].z: -5.640
p[230].vx: -80.573	p[230].vy: 30.538	p[230].vz: -78.286

p[231].x: -4.250	p[231].y: 3.045	p[231].z: 3.363
p[231].vx: -61.298	p[231].vy: 44.344	p[231].vz: 47.423

p[232].x: 4.550	p[232].y: -4.473	p[232].z: 1.537
p[232].vx: 64.807	p[232].vy: -64.010	p[232].vz: 20.408

p[233].x: -2.588	p[233].y: -2.561	p[233].z: 2.655
p[233].vx: -35.622	p[233].vy: -37.953	p[233].vz: 37.370

p[234].x: 1.461	p[234].y: 0.595	p[234].z: -1.871
p[234].vx: 14.034	p[234].vy: 11.227	p[234].vz: -28.610

p[235].x: -2.571	p[235].y: 3.958	p[235].z: -4.163
p[235].vx: -37.215	p[235].vy: 56.662	p[235].vz: -60.322

p[236].x: 2.424	p[236].y: -0.962	p[236].z: 0.079
p[236].vx: 33.982	p[236].vy: -15.283	p[236].vz: -1.401

p[237].x: 7.143	p[237].y: 8.573	p[237].z: -0.140
p[237].vx: 102.157	p[237].vy: 121.818	p[237].vz: -2.254

p[238].x: 0.747	p[238].y: -2.447	p[238].z: -1.408
p[238].vx: 13.455	p[238].vy: -33.105	p[238].vz: -21.116

p[239].x: -1.612	p[239].y: 0.403	p[239].z: 6.006
p[239].vx: -21.148	p[239].vy: 5.468	p[239].vz: 84.213

p[240].x: -3.047	p[240].y: -4.805	p[240].z: -2.081
p[240].vx: -43.262	p[240].vy: -68.202	p[240].vz: -32.867

p[241].x: -7.167	p[241].y: 3.896	p[241].z: -6.907
p[241].vx: -88.314	p[241].vy: 38.635	p[241].vz: -76.545

p[242].x: -3.677	p[242].y: -4.400	p[242].z: -3.563
p[242].vx: -51.711	p[242].vy: -62.992	p[242].vz: -53.635

p[243].x: -3.160	p[243].y: 2.702	p[243].z: 4.396
p[243].vx: -44.259	p[243].vy: 37.509	p[243].vz: 59.510

p[244].x: 4.613	p[244].y: 5.442	p[244].z: 1.017
p[244].vx: 66.625	p[244].vy: 79.393	p[244].vz: 15.890

p[245].x: 1.831	p[245].y: 1.984	p[245].z: 1.735
p[245].vx: 29.253	p[245].vy: 26.041	p[245].vz: 27.458

p[246].x: -7.502	p[246].y: 0.493	p[246].z: 4.903
p[246].vx: -106.329	p[246].vy: 8.168	p[246].vz: 69.698

p[247].x: 2.929	p[247].y: 2.161	p[247].z: -3.364
p[247].vx: 42.926	p[247].vy: 32.998	p[247].vz: -46.764

p[248].x: 4.434	p[248].y: -4.349	p[248].z: 2.559
p[248].vx: 60.556	p[248].vy: -60.180	p[248].vz: 35.045

p[249].x: -4.500	p[249].y: -5.624	p[249].z: 0.854
p[249].vx: -62.687	p[249].vy: -77.329	p[249].vz: 10.408

p[250].x: -2.558	p[250].y: -1.507	p[250].z: -1.700
p[250].vx: -35.386	p[250].vy: -21.439	p[250].vz: -30.380

p[251].x: 3.800	p[251].y: -6.832	p[251].z: -2.306
p[251].vx: 54.957	p[251].vy: -95.835	p[251].vz: -34.643

p[252].x: -4.047	p[252].y: -3.213	p[252].z: 4.744
p[252].vx: -56.515	p[252].vy: -44.427	p[252].vz: 67.568

p[253].x: -1.045	p[253].y: 0.553	p[253].z: -1.705
p[253].vx: -22.519	p[253].vy: -5.360	p[253].vz: -34.262

p[254].x: -4.690	p[254].y: -5.133	p[254].z: 1.896
p[254].vx: -66.408	p[254].vy: -72.251	p[254].vz: 25.787

p[255].x: 3.994	p[255].y: 0.360	p[255].z: 3.756
p[255].vx: 56.024	p[255].vy: 5.935	p[255].vz: 53.011

p[256].x: 1.463	p[256].y: -2.710	p[256].z: -1.805
p[256].vx: 27.076	p[256].vy: -42.539	p[256].vz: -28.151

p[257].x: -4.798	p[257].y: 5.340	p[257].z: 4.908
p[257].vx: -69.291	p[257].vy: 76.653	p[257].vz: 70.907

p[258].x: 3.510	p[258].y: 0.184	p[258].z: 1.732
p[258].vx: 47.161	p[258].vy: 3.531	p[258].vz: 22.509

p[259].x: -6.599	p[259].y: -5.053	p[259].z: 4.890
p[259].vx: -110.640	p[259].vy: -87.598	p[259].vz: 80.020

p[260].x: -2.900	p[260].y: -3.710	p[260].z: 4.248
p[260].vx: -40.400	p[260].vy: -52.149	p[260].vz: 60.984

p[261].x: 4.957	p[261].y: -6.259	p[261].z: -2.903
p[261].vx: 70.894	p[261].vy: -89.126	p[261].vz: -42.424

p[262].x: 1.070	p[262].y: 0.937	p[262].z: -1.431
p[262].vx: 4.263	p[262].vy: 12.325	p[262].vz: 0.276

p[263].x: 0.965	p[263].y: 1.894	p[263].z: 0.599
p[263].vx: 14.037	p[263].vy: 24.831	p[263].vz: 9.126

p[264].x: 3.050	p[264].y: 1.628	p[264].z: 1.451
p[264].vx: 53.381	p[264].vy: 22.754	p[264].vz: 23.905

p[265].x: -1.679	p[265].y: 3.618	p[265].z: -3.422
p[265].vx: -25.429	p[265].vy: 53.628	p[265].vz: -51.351

p[266].x: -6.510	p[266].y: 1.927	p[266].z: 2.585
p[266].vx: -91.361	p[266].vy: 27.549	p[266].vz: 37.821

p[267].x: -3.416	p[267].y: 6.531	p[267].z: 0.520
p[267].vx: -47.837	p[267].vy: 91.813	p[267].vz: 7.937

p[268].x: -0.345	p[268].y: -6.703	p[268].z: -0.804
p[268].vx: -3.743	p[268].vy: -95.192	p[268].vz: -12.870

p[269].x: -2.589	p[269].y: 3.978	p[269].z: -4.258
p[269].vx: -33.505	p[269].vy: 56.950	p[269].vz: -60.085

p[270].x: 1.911	p[270].y: 2.644	p[270].z: 2.470
p[270].vx: 33.493	p[270].vy: 40.334	p[270].vz: 39.013

p[271].x: -1.254	p[271].y: -1.181	p[271].z: 0.966
p[271].vx: -14.783	p[271].vy: -15.253	p[271].vz: 12.329

p[272].x: -3.506	p[272].y: -1.988	p[272].z: -3.427
p[272].vx: -54.063	p[272].vy: -32.609	p[272].vz: -45.801

p[273].x: 3.954	p[273].y: 5.549	p[273].z: 1.482
p[273].vx: 57.789	p[273].vy: 79.943	p[273].vz: 21.883

p[274].x: -2.319	p[274].y: -3.149	p[274].z: -8.373
p[274].vx: -33.356	p[274].vy: -42.809	p[274].vz: -119.335

p[275].x: -0.034	p[275].y: 4.008	p[275].z: -3.564
p[275].vx: -2.273	p[275].vy: 62.098	p[275].vz: -54.018

p[276].x: -5.459	p[276].y: -4.024	p[276].z: 0.912
p[276].vx: -77.058	p[276].vy: -58.239	p[276].vz: 14.921

p[277].x: 5.623	p[277].y: -6.386	p[277].z: 2.358
p[277].vx: 79.826	p[277].vy: -90.515	p[277].vz: 34.356

p[278].x: -8.214	p[278].y: 2.156	p[278].z: -5.671
p[278].vx: -118.206	p[278].vy: 30.723	p[278].vz: -82.770

p[279].x: -1.194	p[279].y: -2.963	p[279].z: 4.218
p[279].vx: -18.388	p[279].vy: -42.334	p[279].vz: 61.168

p[280].x: 1.546	p[280].y: -3.090	p[280].z: -2.177
p[280].vx: 23.322	p[280].vy: -47.868	p[280].vz: -30.467

p[281].x: -2.276	p[281].y: -0.840	p[281].z: 4.009
p[281].vx: -36.558	p[281].vy: -8.836	p[281].vz: 64.732

p[282].x: 3.797	p[282].y: -4.903	p[282].z: -1.180
p[282].vx: 55.880	p[282].vy: -71.421	p[282].vz: -18.214

p[283].x: 0.794	p[283].y: -2.540	p[283].z: 2.393
p[283].vx: 17.601	p[283].vy: -42.247	p[283].vz: 40.653

p[284].x: 0.690	p[284].y: -4.513	p[284].z: 4.031
p[284].vx: 10.098	p[284].vy: -66.378	p[284].vz: 58.772

p[285].x: -2.553	p[285].y: -2.509	p[285].z: 2.025
p[285].vx: -31.471	p[285].vy: -34.260	p[285].vz: 23.347

p[286].x: -2.711	p[286].y: -1.040	p[286].z: 0.703
p[286].vx: -22.766	p[286].vy: -6.665	p[286].vz: 14.941

p[287].x: 0.022	p[287].y: 5.061	p[287].z: -4.288
p[287].vx: 0.958	p[287].vy: 73.521	p[287].vz: -63.104

p[288].x: -1.615	p[288].y: -1.899	p[288].z: -2.869
p[288].vx: -23.462	p[288].vy: -25.464	p[288].vz: -44.591

p[289].x: 2.460	p[289].y: -1.129	p[289].z: 2.815
p[289].vx: 41.287	p[289].vy: -25.332	p[289].vz: 44.639

p[290].x: 0.513	p[290].y: -5.825	p[290].z: -1.544
p[290].vx: 8.296	p[290].vy: -83.266	p[290].vz: -24.011

p[291].x: 0.085	p[291].y: -5.577	p[291].z: -2.513
p[291].vx: 2.238	p[291].vy: -79.486	p[291].vz: -33.137

p[292].x: -1.983	p[292].y: -2.573	p[292].z: 2.000
p[292].vx: -30.789	p[292].vy: -41.958	p[292].vz: 34.933

p[293].x: -5.659	p[293].y: -8.084	p[293].z: 4.501
p[293].vx: -66.556	p[293].vy: -91.851	p[293].vz: 42.801

p[294].x: -1.995	p[294].y: -2.669	p[294].z: -7.703
p[294].vx: -26.741	p[294].vy: -37.232	p[294].vz: -110.648

p[295].x: 4.034	p[295].y: -1.072	p[295].z: -4.857
p[295].vx: 55.946	p[295].vy: -16.542	p[295].vz: -69.712

p[296].x: -0.032	p[296].y: 3.733	p[296].z: -2.922
p[296].vx: -1.121	p[296].vy: 49.532	p[296].vz: -42.337

p[297].x: 2.725	p[297].y: 1.279	p[297].z: -6.960
p[297].vx: 37.091	p[297].vy: 16.547	p[297].vz: -98.785

p[298].x: -2.066	p[298].y: -2.122	p[298].z: 2.337
p[298].vx: -31.101	p[298].vy: -34.690	p[298].vz: 36.871

p[299].x: -1.004	p[299].y: -0.594	p[299].z: 2.428
p[299].vx: -14.812	p[299].vy: -12.537	p[299].vz: 37.370

p[300].x: -1.849	p[300].y: 1.871	p[300].z: -0.704
p[300].vx: -4.737	p[300].vy: 23.368	p[300].vz: -8.218

p[301].x: 3.134	p[301].y: 5.722	p[301].z: 7.451
p[301].vx: 44.151	p[301].vy: 82.317	p[301].vz: 105.279

p[302].x: -0.877	p[302].y: -0.284	p[302].z: -0.055
p[302].vx: -13.428	p[302].vy: 0.961	p[302].vz: -0.884

p[303].x: -4.423	p[303].y: -2.109	p[303].z: -1.632
p[303].vx: -62.979	p[303].vy: -30.081	p[303].vz: -22.824

p[304].x: -0.701	p[304].y: -3.407	p[304].z: -2.397
p[304].vx: -12.093	p[304].vy: -47.483	p[304].vz: -36.224

p[305].x: 7.967	p[305].y: 4.119	p[305].z: -3.636
p[305].vx: 114.871	p[305].vy: 59.034	p[305].vz: -52.444

p[306].x: 0.060	p[306].y: -0.551	p[306].z: 5.939
p[306].vx: 1.295	p[306].vy: -7.207	p[306].vz: 83.362

p[307].x: 2.575	p[307].y: 2.865	p[307].z: 2.544
p[307].vx: 42.672	p[307].vy: 48.905	p[307].vz: 44.818

p[308].x: -6.422	p[308].y: -3.666	p[308].z: 1.355
p[308].vx: -90.616	p[308].vy: -52.191	p[308].vz: 17.621

p[309].x: -5.673	p[309].y: -3.342	p[309].z: 1.637
p[309].vx: -80.220	p[309].vy: -47.781	p[309].vz: 23.340

p[310].x: 2.002	p[310].y: -3.786	p[310].z: -1.571
p[310].vx: 30.600	p[310].vy: -66.978	p[310].vz: -23.647

p[311].x: 4.285	p[311].y: 5.574	p[311].z: 0.708
p[311].vx: 61.667	p[311].vy: 80.543	p[311].vz: 12.337

p[312].x: 4.443	p[312].y: -0.715	p[312].z: -4.320
p[312].vx: 65.690	p[312].vy: -10.054	p[312].vz: -63.908

p[313].x: -11.056	p[313].y: -6.573	p[313].z: -1.615
p[313].vx: -113.120	p[313].vy: -65.211	p[313].vz: -23.506

p[314].x: 8.503	p[314].y: -1.291	p[314].z: -9.869
p[314].vx: 122.851	p[314].vy: -18.090	p[314].vz: -142.316

p[315].x: 3.070	p[315].y: -4.923	p[315].z: -1.609
p[315].vx: 44.022	p[315].vy: -71.375	p[315].vz: -23.937

p[316].x: -5.412	p[316].y: -4.649	p[316].z: 0.746
p[316].vx: -74.981	p[316].vy: -65.386	p[316].vz: 9.832

p[317].x: 5.756	p[317].y: 3.666	p[317].z: -1.194
p[317].vx: 80.559	p[317].vy: 51.420	p[317].vz: -17.719

p[318].x: 9.503	p[318].y: 0.890	p[318].z: 5.382
p[318].vx: 135.938	p[318].vy: 14.185	p[318].vz: 78.867

p[319].x: 6.463	p[319].y: 0.116	p[319].z: -1.662
p[319].vx: 65.534	p[319].vy: 10.765	p[319].vz: -8.165

p[320].x: 1.844	p[320].y: -1.134	p[320].z: -0.530
p[320].vx: 3.858	p[320].vy: -17.026	p[320].vz: -14.246

p[321].x: 1.773	p[321].y: 22.714	p[321].z: 11.142
p[321].vx: 15.344	p[321].vy: 285.024	p[321].vz: 141.170

p[322].x: 4.919	p[322].y: 8.742	p[322].z: -0.977
p[322].vx: 69.974	p[322].vy: 124.347	p[322].vz: -14.363

p[323].x: -6.579	p[323].y: -9.017	p[323].z: -2.270
p[323].vx: -93.875	p[323].vy: -128.116	p[323].vz: -33.344

p[324].x: -8.159	p[324].y: -3.749	p[324].z: -3.322
p[324].vx: -115.799	p[324].vy: -54.042	p[324].vz: -48.026

p[325].x: 6.230	p[325].y: -2.842	p[325].z: 4.354
p[325].vx: 87.430	p[325].vy: -39.692	p[325].vz: 61.390

p[326].x: -0.293	p[326].y: 4.559	p[326].z: 4.373
p[326].vx: -5.127	p[326].vy: 64.836	p[326].vz: 62.690

p[327].x: 6.344	p[327].y: -7.499	p[327].z: 9.431
p[327].vx: 77.163	p[327].vy: -101.572	p[327].vz: 124.155

p[328].x: 3.217	p[328].y: -4.160	p[328].z: -5.820
p[328].vx: 45.451	p[328].vy: -58.857	p[328].vz: -85.524

p[329].x: -1.154	p[329].y: -3.065	p[329].z: -0.501
p[329].vx: -17.476	p[329].vy: -41.458	p[329].vz: -3.945

p[330].x: -7.774	p[330].y: 1.139	p[330].z: 2.849
p[330].vx: -109.342	p[330].vy: 15.822	p[330].vz: 40.319

p[331].x: -4.874	p[331].y: -2.267	p[331].z: -2.502
p[331].vx: -67.397	p[331].vy: -31.367	p[331].vz: -36.616

p[332].x: 4.261	p[332].y: -0.814	p[332].z: 5.447
p[332].vx: 60.070	p[332].vy: -10.451	p[332].vz: 76.050

p[333].x: -3.168	p[333].y: -2.867	p[333].z: 4.272
p[333].vx: -44.165	p[333].vy: -39.921	p[333].vz: 58.279

p[334].x: 6.068	p[334].y: -4.670	p[334].z: -3.736
p[334].vx: 87.418	p[334].vy: -67.192	p[334].vz: -53.854

p[335].x: -1.439	p[335].y: -5.085	p[335].z: 3.988
p[335].vx: -19.960	p[335].vy: -71.782	p[335].vz: 57.490

p[336].x: 3.879	p[336].y: -0.183	p[336].z: 8.058
p[336].vx: 56.289	p[336].vy: -1.846	p[336].vz: 114.795

p[337].x: 3.631	p[337].y: -4.735	p[337].z: -0.256
p[337].vx: 52.245	p[337].vy: -68.256	p[337].vz: -6.051

p[338].x: -0.025	p[338].y: -1.477	p[338].z: -1.334
p[338].vx: 6.171	p[338].vy: -27.658	p[338].vz: -26.314

p[339].x: -3.811	p[339].y: -1.443	p[339].z: -7.251
p[339].vx: -53.247	p[339].vy: -21.329	p[339].vz: -102.304

p[340].x: 0.864	p[340].y: -3.210	p[340].z: -6.703
p[340].vx: 13.173	p[340].vy: -47.117	p[340].vz: -95.198

p[341].x: -1.651	p[341].y: -1.830	p[341].z: 2.051
p[341].vx: -31.152	p[341].vy: -37.271	p[341].vz: 34.515

p[342].x: 0.346	p[342].y: -4.790	p[342].z: -4.302
p[342].vx: 2.903	p[342].vy: -67.442	p[342].vz: -61.945

p[343].x: -5.599	p[343].y: -0.137	p[343].z: -3.667
p[343].vx: -62.035	p[343].vy: -5.766	p[343].vz: -32.432

p[344].x: -0.641	p[344].y: -5.005	p[344].z: 6.482
p[344].vx: -9.541	p[344].vy: -69.882	p[344].vz: 92.512

p[345].x: -0.969	p[345].y: 3.198	p[345].z: 3.090
p[345].vx: -16.341	p[345].vy: 47.008	p[345].vz: 46.605

p[346].x: -5.476	p[346].y: 5.665	p[346].z: 1.154
p[346].vx: -77.313	p[346].vy: 81.128	p[346].vz: 18.175

p[347].x: -4.402	p[347].y: -1.922	p[347].z: -1.884
p[347].vx: -60.165	p[347].vy: -31.027	p[347].vz: -24.099

p[348].x: 7.233	p[348].y: 0.155	p[348].z: 1.104
p[348].vx: 101.834	p[348].vy: 3.396	p[348].vz: 14.682

p[349].x: -6.165	p[349].y: -5.171	p[349].z: -4.905
p[349].vx: -87.688	p[349].vy: -73.219	p[349].vz: -70.702

p[350].x: 4.283	p[350].y: 3.384	p[350].z: 1.909
p[350].vx: 63.474	p[350].vy: 47.276	p[350].vz: 26.410

p[351].x: -4.550	p[351].y: -0.954	p[351].z: 6.748
p[351].vx: -64.486	p[351].vy: -11.956	p[351].vz: 96.460

p[352].x: 6.191	p[352].y: -1.676	p[352].z: 4.904
p[352].vx: 89.859	p[352].vy: -23.620	p[352].vz: 67.221

p[353].x: -2.968	p[353].y: 3.822	p[353].z: 3.205
p[353].vx: -42.890	p[353].vy: 54.390	p[353].vz: 44.861

p[354].x: -2.707	p[354].y: -2.048	p[354].z: 1.285
p[354].vx: -40.133	p[354].vy: -30.518	p[354].vz: 26.278

p[355].x: -5.291	p[355].y: 2.218	p[355].z: -5.259
p[355].vx: -76.982	p[355].vy: 29.951	p[355].vz: -75.904

p[356].x: -5.902	p[356].y: 1.420	p[356].z: -3.813
p[356].vx: -85.032	p[356].vy: 21.182	p[356].vz: -54.120

p[357].x: -3.009	p[357].y: -3.206	p[357].z: 6.641
p[357].vx: -42.992	p[357].vy: -44.623	p[357].vz: 93.885

p[358].x: -5.466	p[358].y: 7.023	p[358].z: -1.933
p[358].vx: -78.897	p[358].vy: 100.547	p[358].vz: -27.489

p[359].x: 3.639	p[359].y: -3.386	p[359].z: -0.206
p[359].vx: 53.661	p[359].vy: -49.521	p[359].vz: -1.877

p[360].x: 5.498	p[360].y: -0.254	p[360].z: 2.137
p[360].vx: 76.813	p[360].vy: -5.138	p[360].vz: 31.813

p[361].x: -4.719	p[361].y: 8.493	p[361].z: -3.285
p[361].vx: -67.067	p[361].vy: 120.873	p[361].vz: -47.667

p[362].x: 2.695	p[362].y: -2.275	p[362].z: -1.957
p[362].vx: 40.022	p[362].vy: -37.126	p[362].vz: -24.905

p[363].x: -6.323	p[363].y: 5.491	p[363].z: -1.231
p[363].vx: -73.749	p[363].vy: 71.760	p[363].vz: -15.318

p[364].x: 4.450	p[364].y: 4.262	p[364].z: -0.209
p[364].vx: 67.126	p[364].vy: 62.544	p[364].vz: -2.304

p[365].x: 3.455	p[365].y: -2.783	p[365].z: 5.651
p[365].vx: 48.493	p[365].vy: -41.141	p[365].vz: 80.190

p[366].x: 7.290	p[366].y: -1.547	p[366].z: 1.411
p[366].vx: 104.144	p[366].vy: -21.606	p[366].vz: 20.737

p[367].x: -4.387	p[367].y: 2.825	p[367].z: 4.121
p[367].vx: -59.802	p[367].vy: 40.762	p[367].vz: 58.018

p[368].x: 12.442	p[368].y: 0.424	p[368].z: -6.175
p[368].vx: 179.674	p[368].vy: 7.013	p[368].vz: -89.904

p[369].x: 5.364	p[369].y: 7.288	p[369].z: 1.143
p[369].vx: 61.369	p[369].vy: 74.666	p[369].vz: 10.994

p[370].x: 2.531	p[370].y: -4.179	p[370].z: -5.249
p[370].vx: 15.739	p[370].vy: -48.585	p[370].vz: -62.362

p[371].x: 0.980	p[371].y: -6.190	p[371].z: -4.894
p[371].vx: 13.980	p[371].vy: -86.614	p[371].vz: -69.740

p[372].x: -3.883	p[372].y: 5.875	p[372].z: 2.359
p[372].vx: -55.392	p[372].vy: 83.978	p[372].vz: 33.667

p[373].x: -2.725	p[373].y: 0.766	p[373].z: -2.272
p[373].vx: -38.905	p[373].vy: 14.430	p[373].vz: -33.664

p[374].x: 3.941	p[374].y: 4.115	p[374].z: 5.037
p[374].vx: 57.188	p[374].vy: 59.294	p[374].vz: 71.385

p[375].x: -3.766	p[375].y: 2.573	p[375].z: 1.906
p[375].vx: -55.473	p[375].vy: 36.707	p[375].vz: 28.779

p[376].x: -3.667	p[376].y: -2.865	p[376].z: -15.818
p[376].vx: -52.476	p[376].vy: -40.385	p[376].vz: -226.637

p[377].x: -2.316	p[377].y: 0.795	p[377].z: -1.455
p[377].vx: -21.652	p[377].vy: 14.354	p[377].vz: -22.968

p[378].x: -3.428	p[378].y: -3.085	p[378].z: 6.685
p[378].vx: -47.697	p[378].vy: -43.388	p[378].vz: 93.889

p[379].x: -1.314	p[379].y: 0.677	p[379].z: -0.579
p[379].vx: -24.954	p[379].vy: 11.014	p[379].vz: -8.970

p[380].x: -5.706	p[380].y: 4.405	p[380].z: -3.848
p[380].vx: -73.824	p[380].vy: 62.783	p[380].vz: -44.857

p[381].x: -4.107	p[381].y: -1.408	p[381].z: -5.727
p[381].vx: -58.067	p[381].vy: -20.916	p[381].vz: -82.033

p[382].x: -4.227	p[382].y: 0.243	p[382].z: -0.102
p[382].vx: -60.974	p[382].vy: 1.844	p[382].vz: -3.807

p[383].x: -1.333	p[383].y: -7.600	p[383].z: -0.212
p[383].vx: -17.973	p[383].vy: -108.391	p[383].vz: -3.698

p[384].x: 0.816	p[384].y: 2.800	p[384].z: 5.051
p[384].vx: 4.293	p[384].vy: 37.922	p[384].vz: 72.159

p[385].x: -0.088	p[385].y: 2.330	p[385].z: -4.163
p[385].vx: -2.200	p[385].vy: 31.599	p[385].vz: -42.135

p[386].x: 2.694	p[386].y: -6.069	p[386].z: 3.344
p[386].vx: 37.955	p[386].vy: -84.776	p[386].vz: 46.787

p[387].x: -7.472	p[387].y: 4.807	p[387].z: 1.361
p[387].vx: -105.660	p[387].vy: 69.842	p[387].vz: 21.147

p[388].x: 4.281	p[388].y: -9.905	p[388].z: 0.005
p[388].vx: 60.950	p[388].vy: -139.532	p[388].vz: -1.029

p[389].x: -5.203	p[389].y: -5.398	p[389].z: 1.967
p[389].vx: -72.686	p[389].vy: -75.340	p[389].vz: 26.233

p[390].x: -1.280	p[390].y: -3.411	p[390].z: 3.351
p[390].vx: -21.166	p[390].vy: -49.021	p[390].vz: 48.823

p[391].x: 3.510	p[391].y: -1.075	p[391].z: 6.393
p[391].vx: 48.504	p[391].vy: -14.269	p[391].vz: 92.886

p[392].x: 1.380	p[392].y: 1.692	p[392].z: -1.817
p[392].vx: 24.958	p[392].vy: 31.103	p[392].vz: -28.126

p[393].x: 0.243	p[393].y: 4.911	p[393].z: -2.787
p[393].vx: 3.857	p[393].vy: 68.556	p[393].vz: -41.806

p[394].x: -4.462	p[394].y: 4.142	p[394].z: -5.649
p[394].vx: -61.878	p[394].vy: 58.566	p[394].vz: -79.675

p[395].x: 2.770	p[395].y: 2.419	p[395].z: -2.823
p[395].vx: 41.750	p[395].vy: 40.117	p[395].vz: -50.118

p[396].x: 4.211	p[396].y: -4.631	p[396].z: -2.761
p[396].vx: 60.640	p[396].vy: -66.231	p[396].vz: -40.815

p[397].x: -6.629	p[397].y: -3.268	p[397].z: 0.841
p[397].vx: -90.668	p[397].vy: -45.745	p[397].vz: 12.497

p[398].x: 1.715	p[398].y: -1.853	p[398].z: -2.510
